text_id,paragraph,p_ru,title,title_ru,author,url,category,subcategory,subcategory_ru
1,"Мен, Нұрай, Тұран университетінде журналистика мамандығы бойынша білім алып жүрген болашақ журналистпін.Журналист болу – мен үшін жай мамандық емес, бұл – қоғамға əсер ету, халықтың үнін жеткізу, шындықты айту жолы.Ал бүгінгі ең өзекті шындықтардың бірі – қазақ тілінің тағдыры.Өйткені қазақ тілі – елдің жүрегі, ал жүрегі соқпаған ұлт өмір сүре алмайды.Қазір мен студентпін. Университет дəлізінде қазақша сөйлеген дауыстар сирек естіледі.Көпшілік студенттер, тіпті кейбір ұстаздар да орыс тілінде сөйлесуді ыңғайлы көреді.Басында мен бұл жағдайға мəн бермейтінмін, бірақ уақыт өте келе бір нəрсе түсіндім:тілге деген немқұрайдылық – ұлтқа деген немқұрайдылықтың бастамасы.Қазақ тілінің жағдайы – тек тіл мəселесі емес, ұлттық қауіпсіздік мəселесіТіл – тек қатынас құралы емес. Тіл – ұлттың рухы, жаны, тарихы.Қазақ халқы ғасырлар бойы осы тіл арқылы өзінің мəдениетін, салт-дəстүрін, дүниетанымын сақтап келді. Қазақтың батырлары, билері, ақындары мен ойшылдары өз ұлтының намысын, рухын дəл осы тіл арқылы жеткізді.Бірақ қазір не көріп отырмыз?Көшеде, мектепте, университетте, тіпті мемлекеттік мекемелерде де қазақ тілі екінші орында қалып отыр. Кейде тіпті өз елінде өгейдің күйін кешеді. Мемлекеттік тіл мəртебесіне ие бола тұра, қазақ тілі əлі де толыққанды өмір сүріп тұрған жоқ.","Я, Нурай, будущий журналист, изучаю журналистику в Туранском университете. Для меня журналистика  это не просто профессия, это способ влиять на общество, донести голос народа, говорить правду. А одна из самых актуальных сегодняшних истин  судьба казахского языка. Потому что казахский язык  это сердце страны, а если сердце не бьется, то и нация не может существовать. Сейчас я студент. Голоса, говорящие на казахском языке, редко слышат в коридорах университета. Большинству студентов, даже некоторым преподавателям удобно говорить на русском языке. Сначала я не согласен с этим, но со временем я понял, что пренебрежение к казахскому языку  это начало пренебрежения к нации. Состояние казахского языка сейчас не только является языком национальной безопасности, но и языком национальной безопасности. В течение всей истории казахский язык был не только языком, но и языком, который сохранял свой дух, даже через государственные школы и институты, даже через вторую вековую историю, казахи, казахи, и даже через вчестве, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом веке, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлом, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый, в прошлый,",Қазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды,"Казахский язык  сердце страны. А народ, сердце которого не бьётся, не может жить.",Kudaibergennurai,https://bilim-all.kz/article/24376-Qazaq-tili-–-eldin-zhuregi-Al-zhuregi-soqpagan-ult-omir-sure-almaidy,Бала тәрбиесі,Қызықты деректер / Пайдалы мәліметтер,Интересные факты / Полезные сведения
1,"Мұндай жағдай мені, болашақ журналист ретінде, қатты ойландырады.Қазақ тіліне бейжай қарау – өз ұлтыңның болашағына бейжай қарау деген сөз.Егер бүгінгі жастар өз тілін қадірлемесе, ертең бұл ұлттың болашағы қандай болмақ?Тарихтан тағылым: тіл үшін күрес – тəуелсіздік үшін күресБіздің тарихымызда тіл мəселесі ешқашан жай тақырып болмаған.Алаш зиялыларының барлығы дерлік – тілдің жанашыры болған тұлғалар.Ахмет Байтұрсынұлы, Əлихан Бөкейхан, Міржақып Дулатов, Мағжан Жұмабаев – бəрі де тілдің тағдыры арқылы ұлттың тағдыры шешілетінін түсінген.Ахмет Байтұрсынұлы “Тілі жоғалған жұрттың өзі де жоғалады” деген.Бұл сөз қазір бұрынғыдан да өзекті.Сол заманда олар қазақ тілін сақтап қалу үшін газет шығарып, оқулық жазып, мектеп ашқан.Ал біз, XXI ғасырдың жастары, бəрі дайын тұрғанда не істеп жүрміз?Қолымызда интернет, əлеуметтік желілер, еркіндік бар. Бірақ сол еркіндікті өз тілімізде пайдаланып жүрміз бе?Мен Тұран университетінде оқып жүргенде байқағаным – жастардың көбі ойларын қазақша жеткізгісі келеді, бірақ өздеріне сенімсіз.“Қате айтып қоямын”, “басқалар түсінбейді” деген ойлар кедергі болады.Бірақ осы қорқынышты жеңбесек, қазақ тілі ешқашан өз орнын таппайды.Қазақ хандары мен бабалар аманатыБіз ұлт ретінде осындай бай тілді ата-бабамыздан мұра етіп алдық.Қазақ хандарының, батырларының, шешендерінің əр сөзі – ұлттық болмыстың айғағы.Күлтегін, Тоныкөк жазбаларынан бастап, Қасым ханның “Қасқа жолы”, Тəуке ханның “Жеті жарғысы” – бəрі қазақ тілінде, қазақы ұғыммен өрілген.","Такой случай вызывает у меня, будущего журналиста, глубокое размышление.Невнимание к казахскому языку  это равнозначно пренебрежению к будущему своей нации.Как будет завтрашним днём этой нации, если сегодняшняя молодёжь не ценит свой язык?Урок из истории: борьба за язык  это борьба за независимость. В нашей истории язык никогда не был простой темой. Почти все интеллектуалы Алашского района  люди, сочувствовавшие языку.Ахмет Атурсулы, Байлихан Бокейхан, Мирза Дукуплатов, Магжан Жумабаев  понимали, что судьба казахской нации решается благодаря судьбе языка. Ахмед Байтурсулы Как погибнет народ, если он не будет готов к победе.",Қазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды,"Казахский язык  сердце страны. А народ, сердце которого не бьётся, не может жить.",Kudaibergennurai,https://bilim-all.kz/article/24376-Qazaq-tili-–-eldin-zhuregi-Al-zhuregi-soqpagan-ult-omir-sure-almaidy,Бала тәрбиесі,Қызықты деректер / Пайдалы мәліметтер,Интересные факты / Полезные сведения
1,"Ал батырлар жырындағы тілді алсақ – ол таза поэзия. Біздің ата-бабаларымыз тілді құрал емес, қасиет деп таныды.Қазақ үшін сөздің салмағы – алтынның бағасындай болған.“Жүйелі сөз – жүйесін табар, жүйесіз сөз – иесін табар” деп бекер айтпаған.Енді сол ұлттың ұрпағы бола тұра, өз тілін менсінбеу – ата-бабаның аманатына қиянат.Мен кейде ойлаймын: егер Кенесары, Абылай, Бөгенбай, Қабанбай сияқты батырлар бүгінгі күнді көрсе, не дер еді?Мүмкін, “жауды жеңдіңдер, бірақ өз тіліңнен жеңілдіңдер” дер ме еді?..Тұран университетіндегі жағдай: шынайы көрінісМен өз университетімді жақсы көрем, себебі мұнда білім мен шығармашылыққа еркіндік бар.Бірақ шындығын айтсам, тіл мəселесінде кейде жүрегім ауырады.Сабақ арасында дəлізде жүрген студенттердің көбі орысша сөйлейді.Кейбір пəндер қазақша жүргізілсе де, студенттер жауаптарын орысша қайтаруды жөн көреді.Бұл – олардың кінəсі емес, бұл – орта мен жүйенің салдары.Қазақ тілінде сөйлейтін студентке кейде “ерекше” адам сияқты қарайтындар бар.Бірақ мен олай ойламаймын. Керісінше, меніңше, өз тілінде еркін сөйлейтін студент – нағыз заманауи тұлға.Мен Тұранда білім ала жүріп, өзіме бір мақсат қойдым: университет ішінде қазақ тілінің мəртебесін арттыруға атсалысу.Мысалы, қазақ тіліндегі студенттік подкасттар, жаңалықтар, блогтар көбейсе – бұл тілдің дамуына үлкен үлес болар еді.Қазақ жастары жəне тіл таңдауҚазір жастардың алдында екі таңдау тұр:","А если взять язык в песне героев  это чистая поэзия. Наши предки считали язык не орудием, а достоинством. Для казахов вес слов был как цена золота. Не зря говорили: Сложное слово  найдет систему, бессистемное слово  найдет хозяина. Теперь, будучи потомком этой нации, не презирая свой язык,  оскорблять завещание предков. Иногда я думаю: что бы сказали такие герои, как Кенесары, Абылай, Богенбай, Кабанбай, если бы увидели сегодняшний день? Может быть, казахи сказали бы: Вы победили врага, но вы можете говорить легче, чем ваш язык. Ситуация в университете Турана: Я бы хотел, чтобы мой университет был лучше, потому что я хотел бы, чтобы в нем шла свободная мысль и свободная мысль. Я хочу, чтобы в нем шла свобода мысли. Я хочу, чтобы казахские студенты, например, и студенты, и студенты, которые говорят на двух языках, а не на русском, были более свободными, чем в этом.",Қазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды,"Казахский язык  сердце страны. А народ, сердце которого не бьётся, не может жить.",Kudaibergennurai,https://bilim-all.kz/article/24376-Qazaq-tili-–-eldin-zhuregi-Al-zhuregi-soqpagan-ult-omir-sure-almaidy,Бала тәрбиесі,Қызықты деректер / Пайдалы мәліметтер,Интересные факты / Полезные сведения
1,"бірі – жеңіл жол, яғни орыс немесе ағылшын тілінде сөйлеп, “заман ағымына сай болу”;екіншісі – өз ана тіліңде сөйлеп, сол арқылы ұлттық рухыңды сақтау.Бірақ менің ойымша, бұл екеуі бір-біріне қайшы келмейді.Ағылшынша үйрен, орысша біл, бірақ ойың мен жүрегің қазақша болсын.Өйткені тіл тек құрал емес, ол – тұлғаның болмысын айқындайтын белгі.Бүгінгі қазақ жастары – тəуелсіз елдің ұрпағы.Біздің міндет – тек сөйлеп қана қоймай, қазақ тілін ғылымның, мəдениеттің, журналистиканың тіліне айналдыру.Егер біз өз салада қазақша жазсақ, сөйлесек, зерттесек – тіл автоматты түрде дамиды.Журналист ретіндегі көзқарасымМен болашақ журналист ретінде жақсы білем: тіл – ақпарат құралы ғана емес, əсер ету құралы.Қазақ журналистикасы тілді дамытуда үлкен рөл атқара алады.Теледидар, радио, интернет-басылымдарда қазақ тілінде сапалы контент көбейсе, жастар оны қабылдайды.Қазір көп арналар мен блогтар орысша немесе ағылшынша сөйлейді, себебі “қазақша қызық емес” деген жаңсақ пікір қалыптасқан.Бірақ шын мəнінде, тіл қызық емес емес, оны қызықты ете алмаған бізбіз.Мен болашақта осыны өзгерткім келеді.Қазақ тілінде заманауи, сапалы, аудиторияға əсер ететін контент жасағым келеді.Болашақ журналист ретінде менің парызым – тілді қорғау ғана емес, оны қоғамның ең беделді тіліне айналдыру.Себебі ақпарат кімнің тілінде таралса, билік те, ықпал да сол тілде болады.Болашақ біздің қолымызда","Один  легкий путь, то есть быть в курсе времени, говоря на русском или английском языке; второй  говорить на своём родном языке и тем самым сохранять национальный дух. Но я думаю, что эти два понятия не противоречат друг другу. Изучай английский, знай русский, но пусть твой ум и сердце будут на казахском. Потому что язык  это не просто инструмент, он  признак личности. Сегодняшняя казахская молодёжь  потомство независимой страны. Наша задача  не только говорить, но и превращать казахский язык в язык науки, культуры, журналистики. Если мы будем писать на своём родном языке, говорить на английском языке, то в нашем блоге  язык автоматически преобладает. Моя интересная позиция в качестве журналиста в будущем будет превращаться в то, что будущее журналиста будет не только хорошо знающим языком, но и более качественным языком. Я не могу не считать, что будущее журналиста будет лучше понимать русский язык, а не только лучше понимать его. Я не могу не считать, что будущее журналиста будет лучше понимать его, потому что будущее казахского языка будет лучше понимать, чем будущее казахского языка, и лучше развивать его, чем казахский язык, потому что в будущем мы сможем развивать его в качестве казахско-интернетворного журналиста, и в качестве казахскоязычного журналиста, и в качестве казахскоязычного журналиста, и в качестве казахского языка, и в качестве казахского языка, и в качестве казахского языка.",Қазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды,"Казахский язык  сердце страны. А народ, сердце которого не бьётся, не может жить.",Kudaibergennurai,https://bilim-all.kz/article/24376-Qazaq-tili-–-eldin-zhuregi-Al-zhuregi-soqpagan-ult-omir-sure-almaidy,Бала тәрбиесі,Қызықты деректер / Пайдалы мәліметтер,Интересные факты / Полезные сведения
1,"Қазақ тілін сақтап қалу – тек мемлекеттен күтілетін іс емес.Бұл – əр қазақтың жеке жауапкершілігі.Тілді сақтау – өзіңнен басталады: үйде, достарыңмен, əлеуметтік желіде.Мен Тұран университетінде оқи отырып, өз қатарластарыма қарап үміт көрем.Қазақ тілінде сөйлегісі келетін, жазғысы келетін жастар көп.Оларға тек сенімді орта мен қолдау керек.Сондықтан əр оқу орнында, əр қалада қазақша сөйлейтін орталар көбеюі тиіс.Қорытынды: тіл – мəңгілік елдің мəңгілік кодыҚазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды.Бұл жай ғана əдемі сөз емес, бұл – шындық.Біз ата-бабамыздан қалған ең асыл мұраны – тілді сақтап қалуымыз керек.Мен болашақ журналист ретінде сенемін:Қазақ тілі ешқашан өшпейді. Себебі оны сүйетін ұрпақ бар.Ол ұрпақ – біз.Біз өз тілімізде сөйлеп, жазып, армандап, ойлап үйренсек – қазақ тілі тек өткеннің емес, болашақтың тіліне айналады.Қазақ тілін қорғау – өткенге оралу емес, болашаққа жол ашу.Өйткені тіл бар жерде – рух бар.Рух бар жерде – ұлт бар.Ал ұлт бар жерде – болашақ бар.","Сохранение казахского языка  это не только работа, которую требует от государства. Это  личная ответственность каждого казахского народа. Сохранение языка начинается с самого себя: дома, с друзьями, в социальной сети. Я учусь в Туранском университете и надеюсь, что будучи среди своих сверстников, я смогу говорить и писать на казахском языке. Есть много молодых людей, которые хотят говорить и писать на казахском языке. Им нужна только надежная среда и поддержка. Поэтому в учебных заведениях и городах должно быть больше казахскоязычных кругов. Вывод: казахский язык  это сердце вечной страны. А нация, у которой нет сердца, не может жить. Это не просто дух, это правда. Мы должны сохранить наследие, переданное нашим предкам, и стать лучшим языком. Я не буду писать на казахском языке, как на языке будущего. Я не буду писать на казахском языке, потому что у нас есть только прошлое, и у нас есть будущее. Потому что у нас есть казахский язык, и у нас есть мечта, и у нас есть будущее.",Қазақ тілі – елдің жүрегі. Ал жүрегі соқпаған ұлт өмір сүре алмайды,"Казахский язык  сердце страны. А народ, сердце которого не бьётся, не может жить.",Kudaibergennurai,https://bilim-all.kz/article/24376-Qazaq-tili-–-eldin-zhuregi-Al-zhuregi-soqpagan-ult-omir-sure-almaidy,Бала тәрбиесі,Қызықты деректер / Пайдалы мәліметтер,Интересные факты / Полезные сведения
2,"Кітап– адамзаттың сан ғасырлық тәжірибесі мен даналығын сақтап келе жатқан құнды қазына. Тарихта «кітап – білім бұлағы» деген сөз бекер айтылмаған. Әлем дамыған сайын ақпарат көп, уақыт аз болғанымен, кітап оқудың маңызы ешқашан төмендеген емес. Қай дәуірде болмасын, оқыған, ізденген, білімге ұмтылған адам ғана биікке көтеріледі. Бұл мақалада кітап оқудың маңызын, оның адам дамуына тигізетін әсерін және жастардың кітапқа деген көзқарасын қарастырамыз.Кітап оқу адамның ой-өрісін кеңейтеді, сөздік қорын байытады, танымын арттырады. Кітап арқылы біз өзге адамдардың өмір тәжірибесін, түрлі мәдениеттер мен тарихи кезеңдерді біле аламыз. Әсіресе жасөспірімдер үшін кітап — тұлғалық қалыптасудың негізгі құралдарының бірі.Кітап оқу – тек ақпарат алу емес, ол – жан дүниеңді тәрбиелеу, өзіңмен сырласу, өмірді тереңірек түсіну. Жақсы кітапты оқу – ақылды адамның сырынтыңдағанмен тең.Бүгінде смартфон мен интернет заманында жастардың көбі ақпаратты тез қабылдауға үйреніп қалған. Алайда әлеуметтік желіден келетін қысқа, үстірт ақпараттар терең ойлауға мүмкіндік бермейді. Ал кітап – адамның назарын бір нүктеге жинап, терең ойлануға, талдау жасауға баулиды. Электронды құрылғылар көзді шаршатса, қағаз кітап керісінше – тыныштық пен шынайы ләззат сыйлайды.Қазіргі таңда жастар арасында кітап оқуға деген қызығушылық азайып бара жатқаны байқалады. Бұған себеп – гаджеттерге тәуелділік, бос уақыттың көп бөлігін әлеуметтік желіде өткізу. Алайда бұл жағдайды өзгертуге болады. Егер мектепте, отбасында дұрыс бағыт-бағдар берілсе, жастардың кітапқа деген қызығушылығы оянады. Қызықты шығармалар, заманауи әдебиеттерді насихаттау – жақсы бастама болар еді.Егер біз күнделікті осы ұстанымды ұстасақ:Күніне кемінде 15-20 минут кітап оқуға уақыт бөлу;Телефонды шетке қойып, тыныш ортада оқу;Қызықты жанрларды таңдау (мысалы, детектив, фантастика, мотивациялық кітаптар);Оқыған кітабың туралы дос-жарандарыңмен пікір алмасу;Кітапханаға жиі барып тұру,біздің кітапқа деген сүйіспеншілігіміз артар еді.Кітап оқу – тек білім алу құралы емес, ол – рухани байлықтың, терең ойдың, жан тыныштығының кілті. Ақылды адамдардың артында кітапқа деген махаббат тұрады. Бүгінгі буын кітапты серік етсе, ертеңгі күні саналы, ізденімпаз, жауапты азаматқа айналары сөзсіз. Сондықтан әрбір жас кітапты досындай көріп, одан рухани нәр алып отырса – қоғамның болашағы жарқын болмақ.","Книга  это ценное сокровище, которое сохраняет многовековой опыт и мудрость человечества. В истории не зря говорят, что книга  источник знаний. По мере того, как мир развивается, информации становится больше, а времени становится меньше, важность чтения никогда не уменьшалась. В любую эпоху только тот, кто читает, ищет, стремится к знаниям, поднимается на высоту. В этой статье мы рассмотрим важность чтения, его влияние на развитие человека и подход молодёжи к книгам. Чтение книг расширяет человеческий ум, углубляет словарный запас, увеличивает мотивацию. С помощью книг мы можем узнать о жизненном опыте других людей, о богатых исторических периодах разных культур. Именно поэтому, особенно в молодые годы, чтение книг становится одним из основных инструментов формирования личности. Чтение книг становится не только интересным, но и не менее важным, чем чтение в коротких социальных сетях; в то время, когда мы читаем книги, мы не можем не учиться в них, мы не можем не учиться в них. Однако, если мы не будем читать их, мы не сможем не учиться в них, не только в Интернете, но и в других учебниках, в других учебниках, в других учебниках, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других книгах, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других, в других",''Кітап оқу – рухани байлықтың кілті.'',Читание  ключ к духовному богатству.,Zharbolova,https://bilim-all.kz/article/24366-''Kitap-oqu-–-ruhani-bailyqtyn-kilti'',Бала тәрбиесі,Оқушыларға пайдалы ақпараттар,Полезная информация для учащихся
3,Қарттар үйіндегі қарт мұңы,Смущение старика в доме престарелых,Қарттар үйіндегі қарт мұңы,Смущение старика в доме престарелых,zzhhasylai,https://bilim-all.kz/article/24365-Qarttar-uiindegi-qart-muny,Бала тәрбиесі,Оқушыларға пайдалы ақпараттар,Полезная информация для учащихся
3,"Қоғамның дамуы мен өркендеуі – тек жастардың еңбегімен ғана емес, үлкендердің өмірлік","Развитие и процветание общества  это не только труд молодых людей, но и жизненная сила взрослых.",Қарттар үйіндегі қарт мұңы,Смущение старика в доме престарелых,zzhhasylai,https://bilim-all.kz/article/24365-Qarttar-uiindegi-qart-muny,Бала тәрбиесі,Оқушыларға пайдалы ақпараттар,Полезная информация для учащихся
3,"тәжірибесімен де өлшенеді. Өкінішке қарай, қазіргі заманда кейбір қарттар өмірінің соңғы","Это также измеряется опытом. К сожалению, в наше время некоторые пожилые люди живут в последнюю часть своей жизни.",Қарттар үйіндегі қарт мұңы,Смущение старика в доме престарелых,zzhhasylai,https://bilim-all.kz/article/24365-Qarttar-uiindegi-qart-muny,Бала тәрбиесі,Оқушыларға пайдалы ақпараттар,Полезная информация для учащихся
3,кезеңін қарттар үйінде өткізуге мәжбүр болып отыр. Бұл – әрбір адамды терең,Он вынужден проводить свой период в доме престарелых. Это глубоко укореняет каждого человека.,Қарттар үйіндегі қарт мұңы,Смущение старика в доме престарелых,zzhhasylai,https://bilim-all.kz/article/24365-Qarttar-uiindegi-qart-muny,Бала тәрбиесі,Оқушыларға пайдалы ақпараттар,Полезная информация для учащихся
